Date,Open,High,Low,Close,Adj Close,Volume
2020-04-21,0.845000,0.845000,0.750000,0.787100,0.787100,228124
2020-04-22,0.788200,0.847600,0.767000,0.827500,0.827500,89986
2020-04-23,0.921300,0.921300,0.810000,0.840000,0.840000,182365
2020-04-24,1.000000,1.000000,0.795250,0.840000,0.840000,67269
2020-04-27,0.850160,0.860000,0.791000,0.800000,0.800000,167479
2020-04-28,0.810000,0.844900,0.790000,0.820000,0.820000,86700
2020-04-29,0.750000,0.810000,0.750000,0.785000,0.785000,178681
2020-04-30,0.790000,0.800000,0.750000,0.766250,0.766250,203790
2020-05-01,0.790000,0.790000,0.701000,0.758900,0.758900,253747
2020-05-04,0.780000,0.780000,0.706340,0.717470,0.717470,158303
2020-05-05,0.737650,0.770000,0.734400,0.750200,0.750200,78370
2020-05-06,0.522000,0.840000,0.522000,0.840000,0.840000,218064
2020-05-07,0.803500,0.897000,0.803500,0.865650,0.865650,155485
2020-05-08,0.888500,0.894000,0.843800,0.851400,0.851400,133838
2020-05-11,0.850000,0.876450,0.817800,0.870000,0.870000,87602
2020-05-12,0.873400,0.885000,0.800000,0.814100,0.814100,60740
2020-05-13,0.837510,0.876900,0.795200,0.798400,0.798400,58006
2020-05-14,0.825000,0.833810,0.763900,0.795350,0.795350,83410
2020-05-15,0.780000,0.805000,0.734400,0.762000,0.762000,129061
2020-05-18,0.717000,0.800000,0.702000,0.776000,0.776000,47972
2020-05-19,0.800000,0.815000,0.750600,0.800000,0.800000,132136
2020-05-20,0.815850,0.815850,0.750000,0.777500,0.777500,209233
2020-05-21,0.760500,0.806400,0.755100,0.800000,0.800000,44768
2020-05-22,0.810700,0.810700,0.762850,0.800000,0.800000,156521
2020-05-26,0.825240,0.840000,0.775000,0.789600,0.789600,322086
2020-05-27,0.785000,0.810000,0.779000,0.794950,0.794950,34678
2020-05-28,0.792280,0.840000,0.792280,0.810000,0.810000,98322
2020-05-29,0.810000,0.840000,0.800000,0.823600,0.823600,55706
2020-06-01,0.823600,0.831200,0.800000,0.820000,0.820000,92584
2020-06-02,0.840000,0.840000,0.800000,0.830000,0.830000,93975
2020-06-03,0.823900,0.850000,0.800000,0.835000,0.835000,93760
2020-06-04,0.830000,0.840000,0.801100,0.810000,0.810000,69410
2020-06-05,0.880000,0.880000,0.790000,0.800000,0.800000,222141
2020-06-08,0.800000,0.830000,0.799000,0.828500,0.828500,91580
2020-06-09,0.880000,0.880000,0.800000,0.859700,0.859700,340784
2020-06-10,0.895000,1.090000,0.871000,1.020000,1.020000,928415
2020-06-11,1.150000,1.320000,0.995300,1.185000,1.185000,904140
2020-06-12,1.220000,1.490000,1.220000,1.465100,1.465100,866190
2020-06-15,1.478400,1.650000,1.470000,1.600000,1.600000,731181
2020-06-16,1.700000,1.910000,1.625000,1.850000,1.850000,544623
2020-06-17,2.001500,2.208400,1.400000,1.660000,1.660000,1981506
2020-06-18,1.660000,1.700000,1.350000,1.507700,1.507700,630050
2020-06-19,1.680000,1.680000,1.450000,1.564500,1.564500,442808
2020-06-22,1.810000,1.810000,1.560000,1.765000,1.765000,372424
2020-06-23,1.850000,2.000000,1.837700,1.920000,1.920000,328482
2020-06-24,2.000000,2.000000,1.610500,1.650000,1.650000,374246
2020-06-25,1.665000,1.770000,1.500000,1.650000,1.650000,271120
2020-06-26,1.734200,1.734200,1.600000,1.610000,1.610000,100818
2020-06-29,1.610000,1.610000,1.477200,1.563610,1.563610,258989
2020-06-30,1.590000,1.609200,1.506630,1.550000,1.550000,207194
2020-07-01,1.660000,1.660000,1.540000,1.559900,1.559900,59332
2020-07-02,1.510000,1.600000,1.510000,1.570000,1.570000,204308
2020-07-06,1.590000,1.590000,1.420000,1.460000,1.460000,242400
2020-07-07,1.400000,1.640000,1.400000,1.601010,1.601010,163766
2020-07-08,1.650000,1.650000,1.540100,1.620000,1.620000,122995
2020-07-09,1.680000,1.680000,1.480000,1.520000,1.520000,138101
2020-07-10,1.520000,1.570000,1.500000,1.570000,1.570000,113195
2020-07-13,1.600000,1.818500,1.600000,1.630000,1.630000,367672
2020-07-14,1.710000,1.710000,1.430000,1.600000,1.600000,186307
2020-07-15,1.310000,1.642300,1.310000,1.613200,1.613200,197602
2020-07-16,1.629100,1.650000,1.580000,1.619900,1.619900,70553
2020-07-17,1.650000,1.650000,1.590000,1.620000,1.620000,51977
2020-07-20,1.620000,1.770000,1.577300,1.590000,1.590000,167991
2020-07-21,1.615000,1.640000,1.570300,1.610000,1.610000,132159
